職位,網址
【風險諮詢】企業轉型與數位科技應用顧問-台中所,https//www.104.com.tw/job/78vu2?jobsource=jolist_a_relevance
數位社群行銷專案執行 Consultant,https//www.104.com.tw/job/4ycy2?jobsource=jolist_a_relevance
國家地震工程研究中心_建物組專案計畫人員2名(417),https//www.104.com.tw/job/7tojb?jobsource=jolist_a_relevance
2023年度研發替代役-人資數據分析師(含役前實習) (台北),https//www.104.com.tw/job/7xbrm?jobsource=jolist_a_relevance
稽核人員(稽核部),https//www.104.com.tw/job/46mqn?jobsource=jolist_a_relevance
Showmore 早班客服兼職(部分遠端),https//www.104.com.tw/job/7z41x?jobsource=jolist_a_relevance
"""歡迎45+""捷運松江南京站~內勤保養諮詢顧問《保障月薪(含滿月津貼及全勤)28,000+高獎金》",https//www.104.com.tw/job/7xssg?jobsource=jolist_a_relevance
【風險諮詢】金融犯罪風險資料分析顧問,https//www.104.com.tw/job/7f2i9?jobsource=jolist_a_relevance
數據工程師_數據應用部,https//www.104.com.tw/job/74ngs?jobsource=jolist_a_relevance
資深前端工程師 Senior Front-End Engineer,https//www.104.com.tw/job/7y8i9?jobsource=jolist_a_relevance
【Facility】廠務值班工程師,https//www.104.com.tw/job/7zehz?jobsource=jolist_c_relevance
業務(高抽成),https//www.104.com.tw/job/7yxrp?jobsource=jolist_c_relevance
ESG客戶成功經理,https//www.104.com.tw/job/7gyf8?jobsource=jolist_c_relevance
軟體研發工程師(模糊測試)_台達研究院(台北/南科),https//www.104.com.tw/job/7zd1t?jobsource=jolist_c_relevance
【總公司】月台管理企劃人員,https//www.104.com.tw/job/7fgmz?jobsource=jolist_c_relevance
M230 製程整合工程師,https//www.104.com.tw/job/7tss6?jobsource=jolist_c_relevance
.數據分析師(台北總公司),https//www.104.com.tw/job/72pdj?jobsource=jolist_c_relevance
【產品研發】Junior Backend Engineer,https//www.104.com.tw/job/7zu3d?jobsource=jolist_c_relevance
Software Engineer - Backend (後端軟體工程師),https//www.104.com.tw/job/7dspd?jobsource=jolist_c_relevance
研究員 Research Associate,https//www.104.com.tw/job/7zrir?jobsource=jolist_c_relevance
業務助理(S2),https//www.104.com.tw/job/7lurt?jobsource=jolist_c_relevance
智庫研究助理 Research Assistant,https//www.104.com.tw/job/7zriy?jobsource=jolist_c_relevance
資安工程師(數位鑑識)-20002862,https//www.104.com.tw/job/7io9u?jobsource=jolist_c_relevance
管理部助理,https//www.104.com.tw/job/73072?jobsource=jolist_c_relevance
社群企劃 Social Content Creator,https//www.104.com.tw/job/7n5sa?jobsource=jolist_c_relevance
資料分析師 Data Analyst,https//www.104.com.tw/job/7irvr?jobsource=jolist_c_relevance
廣告優化 / 數據分析師,https//www.104.com.tw/job/7ix9j?jobsource=jolist_c_relevance
Customer Success Manager 客戶經理,https//www.104.com.tw/job/7yrye?jobsource=jolist_c_relevance
台灣奧美 PR 公關 (廣告/社群專長) - Account Executive 業務執行,https//www.104.com.tw/job/7scky?jobsource=jolist_c_relevance
【AI團隊】NLP 研發工程師 R&D Engineer_台北,https//www.104.com.tw/job/7bx0e?jobsource=jolist_c_relevance
資料工程師,https//www.104.com.tw/job/7ibi1?jobsource=jolist_c_relevance
會計人員(關企),https//www.104.com.tw/job/7wtka?jobsource=jolist_c_relevance
"後端軟體工程師 Software Engineer - 數據科技(數數發中心, DDT)",https//www.104.com.tw/job/7txb7?jobsource=jolist_c_relevance
專案經理 【房感不動產科技】,https//www.104.com.tw/job/7wtzh?jobsource=jolist_c_relevance
人工智慧系統開發工程師,https//www.104.com.tw/job/7694v?jobsource=jolist_c_relevance
智能販賣機  中部工務運補人員,https//www.104.com.tw/job/7z7o9?jobsource=jolist_c_relevance
數據工程師 (Data Engineer),https//www.104.com.tw/job/7zxu2?jobsource=jolist_c_relevance
【擴大徵才】廣告優化師｜Account Manager,https//www.104.com.tw/job/7z4h3?jobsource=jolist_c_relevance
蝦皮電商人員(行銷推廣經驗者尤佳),https//www.104.com.tw/job/7xkw7?jobsource=jolist_c_relevance
RD21175 資料庫暨自動化軟體工程師,https//www.104.com.tw/job/7yxnm?jobsource=jolist_c_relevance
電話行銷人員-台中南屯,https//www.104.com.tw/job/6gwjh?jobsource=jolist_c_relevance
【米塔集團】總管理處-資訊人員,https//www.104.com.tw/job/7ve0u?jobsource=jolist_c_relevance
【資訊中心】AI工程師,https//www.104.com.tw/job/7zfqv?jobsource=jolist_c_relevance
數位金融處-數據平台專案管理人員,https//www.104.com.tw/job/78gea?jobsource=jolist_c_relevance
行銷企劃主管,https//www.104.com.tw/job/7zzxk?jobsource=jolist_c_relevance
中區輕熟齡女裝服飾銷售人員【業界%數最優，直抽做多少抽多少】,https//www.104.com.tw/job/7iiou?jobsource=jolist_c_relevance
數位媒體投放專員（廣告優化師）,https//www.104.com.tw/job/7z8m5?jobsource=jolist_c_relevance
軟體招募專員 Technical Recruiter,https//www.104.com.tw/job/7wy23?jobsource=jolist_c_relevance
AI軟體工程師(G0),https//www.104.com.tw/job/7zvd7?jobsource=jolist_c_relevance
系統分析師(D1)【全家便利商店關係企業】,https//www.104.com.tw/job/71teg?jobsource=jolist_c_relevance
系統分析師-AP2,https//www.104.com.tw/job/5fgq9?jobsource=jolist_d_relevance
軟體研發實習/工讀生 (前端/後端/APP),https//www.104.com.tw/job/7kn3a?jobsource=jolist_d_relevance
AOI AI軟體開發工程師(工作地點:台中),https//www.104.com.tw/job/7yus1?jobsource=jolist_d_relevance
電子商務數據分析師,https//www.104.com.tw/job/7m9jb?jobsource=jolist_d_relevance
工程師助理-AI人工智慧軟體,https//www.104.com.tw/job/7y697?jobsource=jolist_d_relevance
Finance and operations specialist 財務會計營運專員,https//www.104.com.tw/job/7ypq8?jobsource=jolist_d_relevance
數據分析專員,https//www.104.com.tw/job/7y9rp?jobsource=jolist_d_relevance
第59台ViVa TV電話行銷人員(保障底薪+高獎金/無經驗可/歡迎二度就業來加入、社會新鮮人來挑戰),https//www.104.com.tw/job/3io41?jobsource=jolist_d_relevance
CI1100 .Net C# 軟體工程師 Software Engineer,https//www.104.com.tw/job/59ljh?jobsource=jolist_d_relevance
世新大學知識經濟發展研究院-專案研究員/主管（博後）,https//www.104.com.tw/job/7g6dc?jobsource=jolist_d_relevance
臺灣大學臨床醫學研究所高嘉宏教授 徵碩士級研究助理1名,https//www.104.com.tw/job/7kaxq?jobsource=jolist_d_relevance
數位轉型專員/資深專員-數據分析師,https//www.104.com.tw/job/7lu40?jobsource=jolist_d_relevance
軟體專利工程師,https//www.104.com.tw/job/7c1xn?jobsource=jolist_d_relevance
C# ASP.NET Web 工程師,https//www.104.com.tw/job/7i0u1?jobsource=jolist_d_relevance
嵌入式系統軟體工程師_台達研究院(台北/南科),https//www.104.com.tw/job/7zd1k?jobsource=jolist_d_relevance
統一超商數據分析管理師,https//www.104.com.tw/job/7xdj3?jobsource=jolist_d_relevance
平面設計師,https//www.104.com.tw/job/7dpwq?jobsource=jolist_d_relevance
IoT前端工程師 Front-end Engineer,https//www.104.com.tw/job/7uqmw?jobsource=jolist_d_relevance
【新專案】Java工程師,https//www.104.com.tw/job/7yrlo?jobsource=jolist_d_relevance
韓國服飾銷售人員,https//www.104.com.tw/job/7ylug?jobsource=jolist_d_relevance
[兼職] 產品測試/客服專員,https//www.104.com.tw/job/71moi?jobsource=jolist_a_relevance
【AutoTurn】客戶成功經理/廣告AE/客戶拓展/跨行業務經驗可 ★無上限高獎金,https//www.104.com.tw/job/6me0f?jobsource=jolist_a_relevance
群健所邱弘毅所長研究室誠徵碩士級研究助理,https//www.104.com.tw/job/7zvat?jobsource=jolist_a_relevance
後端Python工程師,https//www.104.com.tw/job/7wa74?jobsource=jolist_a_relevance
業務主管,https//www.104.com.tw/job/2o9bl?jobsource=jolist_a_relevance
VIS220102-大數據架構研究發展工程師(新竹廠),https//www.104.com.tw/job/75ei4?jobsource=jolist_a_relevance
"【DNA, Data & AI】Project Manager_專案管理師",https//www.104.com.tw/job/7u7nt?jobsource=jolist_a_relevance
工程類--測試工程師(中科),https//www.104.com.tw/job/7x6gl?jobsource=jolist_a_relevance
行政助理/總公司職缺（兼職工讀可）,https//www.104.com.tw/job/7c1d2?jobsource=jolist_a_relevance
業務管理專員,https//www.104.com.tw/job/2m3or?jobsource=jolist_a_relevance
N4000 【財會處】營運分析專員,https//www.104.com.tw/job/7duqc?jobsource=jolist_a_relevance
智慧製造生技工程師,https//www.104.com.tw/job/7wgi6?jobsource=jolist_a_relevance
資料分析師-情報系統二team【全家便利商店關係企業】,https//www.104.com.tw/job/7f5gu?jobsource=jolist_a_relevance
客戶成功經理 Customer Success Manager,https//www.104.com.tw/job/7gqg8?jobsource=jolist_a_relevance
【TNLR】Data  Analyst 資料分析師,https//www.104.com.tw/job/7kfia?jobsource=jolist_a_relevance
【資安】資訊安全分析師,https//www.104.com.tw/job/7xrj2?jobsource=jolist_a_relevance
系統管理員(早班07:00~16:00)【全家便利商店關係企業】,https//www.104.com.tw/job/7hj5z?jobsource=jolist_a_relevance
"【DNA, Data & AI】Data Scientist & AI Engineer_資料科學家 & AI工程師",https//www.104.com.tw/job/7gxgz?jobsource=jolist_a_relevance
數位社群廣告投放優化師,https//www.104.com.tw/job/6dees?jobsource=jolist_a_relevance
電話行銷人員-板橋,https//www.104.com.tw/job/6hye6?jobsource=jolist_a_relevance
前端工程師(台中),https//www.104.com.tw/job/72ehu?jobsource=jolist_b_relevance
【產品研發】Junior/Senior PHP 後端平台工程師,https//www.104.com.tw/job/7qzj0?jobsource=jolist_b_relevance
律師,https//www.104.com.tw/job/7yyik?jobsource=jolist_b_relevance
Mobile Device Application Developer,https//www.104.com.tw/job/3rouf?jobsource=jolist_b_relevance
AI數據工程師.,https//www.104.com.tw/job/72rt2?jobsource=jolist_b_relevance
【IT】雲端架構師,https//www.104.com.tw/job/7ng93?jobsource=jolist_b_relevance
82J0-伺服器電源研發工程師(北投),https//www.104.com.tw/job/605kh?jobsource=jolist_b_relevance
徵 數據處-健康資料加值暨統計中心-專任職員2名(統計分析師),https//www.104.com.tw/job/7lkcc?jobsource=jolist_b_relevance
機器學習工程師(Machine Learning Engineer),https//www.104.com.tw/job/6ck4s?jobsource=jolist_b_relevance
測試工程師 (QA Engineer),https//www.104.com.tw/job/7en9w?jobsource=jolist_b_relevance
財務幕僚管理師,https//www.104.com.tw/job/7l15g?jobsource=jolist_b_relevance
CRM 數據分析主任/副理,https//www.104.com.tw/job/7wpms?jobsource=jolist_b_relevance
【財會部】會計專員,https//www.104.com.tw/job/6xnn6?jobsource=jolist_b_relevance
資深授信審查專員,https//www.104.com.tw/job/4q4je?jobsource=jolist_b_relevance
研發工程類-軟體研發工程師/主管 Software R&D Engineer/Supervisor,https//www.104.com.tw/job/4uxuh?jobsource=jolist_b_relevance
資深系統工程師,https//www.104.com.tw/job/7ffzh?jobsource=jolist_b_relevance
【Sales】業務專員,https//www.104.com.tw/job/7o13w?jobsource=jolist_b_relevance
資深媒體投放專員（廣告優化師）,https//www.104.com.tw/job/7uc1q?jobsource=jolist_b_relevance
【Raise 計畫】  產業高階人才培訓計畫,https//www.104.com.tw/job/7z6mv?jobsource=jolist_b_relevance
【總公司】運籌數據軟體開發專員,https//www.104.com.tw/job/7sr92?jobsource=jolist_b_relevance
資深資料科學家-AI系統二team【全家便利商店關係企業】,https//www.104.com.tw/job/7zwrl?jobsource=jolist_a_relevance
臨床研究研究員【TGH008 大江基因_基因研發中心】,https//www.104.com.tw/job/7y53p?jobsource=jolist_a_relevance
產品開發管理師(PM),https//www.104.com.tw/job/7fn4f?jobsource=jolist_a_relevance
財務經理,https//www.104.com.tw/job/7yy4t?jobsource=jolist_a_relevance
CRM顧問專案經理,https//www.104.com.tw/job/7s205?jobsource=jolist_a_relevance
資料分析師,https//www.104.com.tw/job/7xris?jobsource=jolist_a_relevance
Senior Product Manager (資深產品經理),https//www.104.com.tw/job/7dspj?jobsource=jolist_a_relevance
AI人工智能研究員  IOT物聯網應用工程師,https//www.104.com.tw/job/7z003?jobsource=jolist_a_relevance
RD20347 硬體研發工程師(IPC&IOT產品),https//www.104.com.tw/job/6a0lf?jobsource=jolist_a_relevance
人事行政工讀生,https//www.104.com.tw/job/5gx0u?jobsource=jolist_a_relevance
網路行銷企劃,https//www.104.com.tw/job/uia0?jobsource=jolist_a_relevance
客服小編營運專員,https//www.104.com.tw/job/76de8?jobsource=jolist_a_relevance
ASP.NET軟體工程師(台北),https//www.104.com.tw/job/6isr3?jobsource=jolist_a_relevance
債券投資人員,https//www.104.com.tw/job/5ad90?jobsource=jolist_a_relevance
"Software Engineer, Data Backend",https//www.104.com.tw/job/7o819?jobsource=jolist_a_relevance
後端 PHP 工程師 (Jr. PHP Developer),https//www.104.com.tw/job/7xjed?jobsource=jolist_a_relevance
軟體工程師0602,https//www.104.com.tw/job/7fba0?jobsource=jolist_a_relevance
FACEBOOK廣告企劃(台北),https//www.104.com.tw/job/41can?jobsource=jolist_a_relevance
(數據分析)資訊業務-3DW291,https//www.104.com.tw/job/7garj?jobsource=jolist_a_relevance
電話行銷人員-台中文心,https//www.104.com.tw/job/5eedz?jobsource=jolist_a_relevance
社群專員/資深社群專員(DM),https//www.104.com.tw/job/796x5?jobsource=jolist_b_relevance
雲端架構/工程師,https//www.104.com.tw/job/7qo6b?jobsource=jolist_b_relevance
臺灣大學臨床醫學研究所高嘉宏教授 徵博士後研究員1名,https//www.104.com.tw/job/7lcrt?jobsource=jolist_b_relevance
AI人工智能資料科學家 (Data Scientist),https//www.104.com.tw/job/6hzwe?jobsource=jolist_b_relevance
【RD】網頁產品開發工程師,https//www.104.com.tw/job/7hv1h?jobsource=jolist_b_relevance
Showmore 客戶服務專員(早班),https//www.104.com.tw/job/7e3nm?jobsource=jolist_b_relevance
人事行政總務,https//www.104.com.tw/job/6zhkt?jobsource=jolist_b_relevance
VIS220129-【2023年研發替代役】大數據架構研究發展工程師(新竹廠),https//www.104.com.tw/job/7rbka?jobsource=jolist_b_relevance
PD2621 產品管理實習生 Product Management Intern,https//www.104.com.tw/job/703q8?jobsource=jolist_b_relevance
"國家衛生研究院健康大數據永續平台計畫(TCOG派駐中山醫學大學附設醫院)臨床研究護理師(Study Coordinator, SC)",https//www.104.com.tw/job/7yks0?jobsource=jolist_b_relevance
營運處-帳務行政人員,https//www.104.com.tw/job/7zlgh?jobsource=jolist_b_relevance
科技事業部－客服專員,https//www.104.com.tw/job/7j40z?jobsource=jolist_b_relevance
(資深)SA系統分析師 (Sr.)System Analyst_台北,https//www.104.com.tw/job/5zujd?jobsource=jolist_b_relevance
"研發專案企劃助理(細心,擅長收集及分析大數據,有基本閱讀外語能力)",https//www.104.com.tw/job/801ou?jobsource=jolist_b_relevance
(品牌內容)業務企劃 Account Executive,https//www.104.com.tw/job/7zjwx?jobsource=jolist_b_relevance
嵌入式軟體工程師 (AIoT Embedded Engineer),https//www.104.com.tw/job/7xjd2?jobsource=jolist_b_relevance
(Sr.) Customer Success Manager 客戶經理 - Japan,https//www.104.com.tw/job/7yrni?jobsource=jolist_b_relevance
T102-業務代表,https//www.104.com.tw/job/5dh54?jobsource=jolist_b_relevance
行銷部數據分析助理-長期工讀生,https//www.104.com.tw/job/739ti?jobsource=jolist_b_relevance
Flutter Engineer,https//www.104.com.tw/job/5d78g?jobsource=jolist_b_relevance
Flutter Engineer,https//www.104.com.tw/job/5d78g?jobsource=jolist_b_relevance
MyGo Proptech/Fintech 資深人資主管 HRBP (台北),https//www.104.com.tw/job/7udm4?jobsource=jolist_b_relevance
Software Engineer - Backend (後端軟體工程師),https//www.104.com.tw/job/7dspd?jobsource=jolist_b_relevance
藝術指導 Art Director,https//www.104.com.tw/job/7z6wg?jobsource=jolist_b_relevance
業務助理(S2),https//www.104.com.tw/job/7lurt?jobsource=jolist_b_relevance
總公司 Centric Frontend Intern_台北,https//www.104.com.tw/job/7z9h7?jobsource=jolist_b_relevance
智庫研究助理 Research Assistant,https//www.104.com.tw/job/7zriy?jobsource=jolist_b_relevance
[實習] PHP 後端工程師,https//www.104.com.tw/job/7nc9i?jobsource=jolist_b_relevance
[實習] 資料處理工程師,https//www.104.com.tw/job/7gk6s?jobsource=jolist_b_relevance
管理部助理,https//www.104.com.tw/job/73072?jobsource=jolist_b_relevance
社群企劃 Social Content Creator,https//www.104.com.tw/job/7n5sa?jobsource=jolist_b_relevance
氣體感測器製程工程師,https//www.104.com.tw/job/6jykt?jobsource=jolist_b_relevance
資料分析師 Data Analyst,https//www.104.com.tw/job/7irvr?jobsource=jolist_b_relevance
Customer Success Manager 客戶經理,https//www.104.com.tw/job/7yrye?jobsource=jolist_b_relevance
行銷經理 PR & Marketing Lead,https//www.104.com.tw/job/6zqu3?jobsource=jolist_b_relevance
【IT】專案管理師,https//www.104.com.tw/job/7ofgu?jobsource=jolist_b_relevance
Backend Engineer Intern,https//www.104.com.tw/job/7zzou?jobsource=jolist_b_relevance
BO1107 倉庫管理專員,https//www.104.com.tw/job/800cg?jobsource=jolist_b_relevance
【AI團隊】NLP 研發工程師 R&D Engineer_台北,https//www.104.com.tw/job/7bx0e?jobsource=jolist_b_relevance
資深環境專案工程師(綜合環境管理),https//www.104.com.tw/job/7ig0d?jobsource=jolist_b_relevance
專案經理 【房感不動產科技】,https//www.104.com.tw/job/7wtzh?jobsource=jolist_b_relevance
智能販賣機  中部工務運補人員,https//www.104.com.tw/job/7z7o9?jobsource=jolist_b_relevance
數據工程師 (Data Engineer),https//www.104.com.tw/job/7zxu2?jobsource=jolist_b_relevance
UR集團儲備菁英（商品企劃 / 視覺設計 / 電商營運 / 節目總監）,https//www.104.com.tw/job/7866g?jobsource=jolist_b_relevance
【擴大徵才】廣告優化師｜Account Manager,https//www.104.com.tw/job/7z4h3?jobsource=jolist_b_relevance
世新大學知識經濟發展研究院-專案助理研究員,https//www.104.com.tw/job/7g6ez?jobsource=jolist_b_relevance
【稽核室】稽核副理 / 資深管理師,https//www.104.com.tw/job/7v4mc?jobsource=jolist_b_relevance
RD20754 資深色彩影像軟體研發工程師(顯示器),https//www.104.com.tw/job/7kqe3?jobsource=jolist_b_relevance
【風險諮詢】數位科技風險 - 資訊安全風險管理顧問-高雄所,https//www.104.com.tw/job/6iyp6?jobsource=jolist_b_relevance
主管特助/助理,https//www.104.com.tw/job/70817?jobsource=jolist_b_relevance
數位廣告產品經理 DSP Product Owner,https//www.104.com.tw/job/7cyn2?jobsource=jolist_b_relevance
Quality Assurance Intern(QA Intern)（一週32~40小時）,https//www.104.com.tw/job/70bxu?jobsource=jolist_b_relevance
軟體招募專員 Technical Recruiter,https//www.104.com.tw/job/7wy23?jobsource=jolist_b_relevance
會計專員,https//www.104.com.tw/job/7zc7p?jobsource=jolist_b_relevance
技術經理(處長),https//www.104.com.tw/job/6o5tp?jobsource=jolist_b_relevance
行政總務,https//www.104.com.tw/job/5y1eq?jobsource=jolist_b_relevance
研發工程師,https//www.104.com.tw/job/7o5b4?jobsource=jolist_b_relevance
(資深)Java工程師 (Sr.)Java Engineer_台北,https//www.104.com.tw/job/3efas?jobsource=jolist_b_relevance
資訊系統開發工程師(平鎮廠),https//www.104.com.tw/job/7q9mv?jobsource=jolist_b_relevance
ETL資料工程師、後端工程師_12345,https//www.104.com.tw/job/7zh3x?jobsource=jolist_b_relevance
資深數位社群廣告投放優化師,https//www.104.com.tw/job/6g675?jobsource=jolist_a_relevance
ETL資料工程師、後端工程師_12345,https//www.104.com.tw/job/7zh3x?jobsource=jolist_a_relevance
Sr. Sales Manager 資深業務經理,https//www.104.com.tw/job/7i2qj?jobsource=jolist_a_relevance
產品應用工程師/技術支援工程師(FAE)_OT Security_ 台達研究院(台北),https//www.104.com.tw/job/7wwoa?jobsource=jolist_a_relevance
產品視覺設計師,https//www.104.com.tw/job/70cel?jobsource=jolist_a_relevance
Senior Account Manager 業務行銷經理,https//www.104.com.tw/job/7fk3z?jobsource=jolist_a_relevance
資料科學家 Data Scientist,https//www.104.com.tw/job/5l6qm?jobsource=jolist_a_relevance
國外業務,https//www.104.com.tw/job/7wabn?jobsource=jolist_a_relevance
【風險諮詢】數位科技風險 - 資訊安全風險管理顧問,https//www.104.com.tw/job/lzpm?jobsource=jolist_a_relevance
【研發部】RD_AOI工程師 (享久任獎金五萬元及提供租屋津貼或交通津貼),https//www.104.com.tw/job/77x4y?jobsource=jolist_a_relevance
網站前端工程師,https//www.104.com.tw/job/7y8c5?jobsource=jolist_a_relevance
Web 全端工程師(新竹/土城),https//www.104.com.tw/job/660sx?jobsource=jolist_a_relevance
Account Manager 客戶經理,https//www.104.com.tw/job/7yt91?jobsource=jolist_a_relevance
A【Java工程師】★輕鬆在家上班★,https//www.104.com.tw/job/7z1lt?jobsource=jolist_a_relevance
2023錼創暑期實習生,https//www.104.com.tw/job/7ztmd?jobsource=jolist_a_relevance
國內業務通路專員,https//www.104.com.tw/job/6vxwu?jobsource=jolist_a_relevance
儀科中心-生醫平台與育成組-誠徵計畫專任人員1名(健康大數據暨腦科技推動辦公室計畫)(聘期至113年02月29日),https//www.104.com.tw/job/800a6?jobsource=jolist_a_relevance
大數據工程師,https//www.104.com.tw/job/7h2vt?jobsource=jolist_a_relevance
社群電商-社群內容專員,https//www.104.com.tw/job/7ascj?jobsource=jolist_a_relevance
【數位金融】數據生態營運部雲端數據工程師(台北),https//www.104.com.tw/job/7qhcj?jobsource=jolist_a_relevance
國內業務,https//www.104.com.tw/job/5nag9?jobsource=jolist_d_relevance
Back-End / Full-Stack Web Developer (網站後端/全端工程師),https//www.104.com.tw/job/6ttt5?jobsource=jolist_d_relevance
電商經理,https//www.104.com.tw/job/6wp0r?jobsource=jolist_d_relevance
業務經理 Business Development Manager,https//www.104.com.tw/job/5mecb?jobsource=jolist_d_relevance
高階主管特助,https//www.104.com.tw/job/70k7i?jobsource=jolist_d_relevance
數據分析師_0104,https//www.104.com.tw/job/7y8gs?jobsource=jolist_d_relevance
.NET C# MVC 軟體工程師,https//www.104.com.tw/job/5mn47?jobsource=jolist_d_relevance
C#軟體研發高級工程師 (ID: 23003I),https//www.104.com.tw/job/7vay3?jobsource=jolist_d_relevance
多媒體研發工程師,https//www.104.com.tw/job/grbt?jobsource=jolist_d_relevance
資深AI數據工程師.,https//www.104.com.tw/job/6irjb?jobsource=jolist_d_relevance
【寵物科技新創實習】Accounting Intern 財務會計實習生,https//www.104.com.tw/job/7ueod?jobsource=jolist_d_relevance
營運數據分析師,https//www.104.com.tw/job/7iwn0?jobsource=jolist_d_relevance
【台中】資料分析管理師,https//www.104.com.tw/job/7efcf?jobsource=jolist_d_relevance
後端工程師,https//www.104.com.tw/job/7zkzh?jobsource=jolist_d_relevance
稽核專員 【稽核】(桃園),https//www.104.com.tw/job/71uml?jobsource=jolist_d_relevance
專任研究助理(王建民老師實驗室),https//www.104.com.tw/job/6o7n1?jobsource=jolist_d_relevance
系統/網路工程師,https//www.104.com.tw/job/7eahg?jobsource=jolist_d_relevance
系統管理員(晚班15:00~24:00)【全家便利商店關係企業】,https//www.104.com.tw/job/7nlbe?jobsource=jolist_d_relevance
系統分析師 System Analyst,https//www.104.com.tw/job/7zve1?jobsource=jolist_d_relevance
I3501 資訊安全(資深)工程師_板橋,https//www.104.com.tw/job/6doj9?jobsource=jolist_d_relevance
(資深)軟體測試工程師 (Sr.) Software QA Engineer_台北,https//www.104.com.tw/job/718yp?jobsource=jolist_b_relevance
酒品研發及分析認證研究員－烈酒研究所_員山廠,https//www.104.com.tw/job/79ye6?jobsource=jolist_b_relevance
AI 資料處理助理 （實習生或工讀）,https//www.104.com.tw/job/6zc6a?jobsource=jolist_b_relevance
資深全端工程師,https//www.104.com.tw/job/7zl2g?jobsource=jolist_b_relevance
前端工程師,https//www.104.com.tw/job/7c4ym?jobsource=jolist_b_relevance
S08 行動廣告業務人員,https//www.104.com.tw/job/3j59a?jobsource=jolist_b_relevance
Product Designer Intern,https//www.104.com.tw/job/7zznz?jobsource=jolist_b_relevance
[新竹/台北] 架構師/技術總監 (Architect / Technical Director),https//www.104.com.tw/job/7dsph?jobsource=jolist_b_relevance
國立臺北科技大學校務研究暨永續發展中心徵聘行政組員1名,https//www.104.com.tw/job/7zvvu?jobsource=jolist_b_relevance
系統分析師(駐點新北市林口)【全家便利商店關係企業】,https//www.104.com.tw/job/5dtl9?jobsource=jolist_b_relevance
Operations Intern 營運實習生,https//www.104.com.tw/job/7oaum?jobsource=jolist_b_relevance
行銷部_會員經營CRM資深主任,https//www.104.com.tw/job/7aqd4?jobsource=jolist_b_relevance
運籌數據軟體開發專員(台北_H),https//www.104.com.tw/job/7wrwi?jobsource=jolist_b_relevance
資料工程師 Data Engineer,https//www.104.com.tw/job/6gj80?jobsource=jolist_b_relevance
軟/韌體開發工程師 SW/FW Engineer,https//www.104.com.tw/job/7w8t0?jobsource=jolist_b_relevance
商業分析專員 / 資深商業分析專員 (BI),https//www.104.com.tw/job/7d4ig?jobsource=jolist_b_relevance
【誠品線上】資料分析師,https//www.104.com.tw/job/7u0so?jobsource=jolist_b_relevance
BC_資安工程師,https//www.104.com.tw/job/75ur2?jobsource=jolist_b_relevance
P1-軟體工程師 (Java),https//www.104.com.tw/job/4sq6c?jobsource=jolist_b_relevance
(資深)遊戲資料庫工程師 DBP,https//www.104.com.tw/job/7q2md?jobsource=jolist_b_relevance
E2-社群數據執行編輯(實習生),https//www.104.com.tw/job/6hgah?jobsource=jolist_a_relevance
112年研發替代役 - 研發工程師,https//www.104.com.tw/job/48czy?jobsource=jolist_a_relevance
智慧製造技術組長 (台中廠)R10,https//www.104.com.tw/job/7x6l1?jobsource=jolist_a_relevance
【產品開發】行銷數據應用顧問/數據分析師,https//www.104.com.tw/job/7uer4?jobsource=jolist_a_relevance
數位轉型專員/資深專員-數據工程師,https//www.104.com.tw/job/7lu3j?jobsource=jolist_a_relevance
Associate Manager Human Resources (Global compensation analytics),https//www.104.com.tw/job/7o49k?jobsource=jolist_a_relevance
業務經理/專員,https//www.104.com.tw/job/7mkaf?jobsource=jolist_a_relevance
ERP/MES/CIM程式設計師,https//www.104.com.tw/job/6v3a5?jobsource=jolist_a_relevance
系統運維工程師 (System Engineer),https//www.104.com.tw/job/7yx93?jobsource=jolist_a_relevance
專案專員 Project Specialist_高雄,https//www.104.com.tw/job/7sj1i?jobsource=jolist_a_relevance
資料科學家(總公司),https//www.104.com.tw/job/7tema?jobsource=jolist_a_relevance
BC_資安分析工程師(工作地點高雄),https//www.104.com.tw/job/75uqq?jobsource=jolist_a_relevance
硬體研發助理,https//www.104.com.tw/job/7ytg5?jobsource=jolist_a_relevance
資深資料工程師_技術處,https//www.104.com.tw/job/7pnal?jobsource=jolist_a_relevance
軟體實習生｜微程式資訊實習計畫(MP Internship Program),https//www.104.com.tw/job/7y92h?jobsource=jolist_a_relevance
社群行銷企劃專員,https//www.104.com.tw/job/7zzxh?jobsource=jolist_a_relevance
網路工程師,https//www.104.com.tw/job/4no1y?jobsource=jolist_a_relevance
長期工讀生,https//www.104.com.tw/job/7ry5y?jobsource=jolist_a_relevance
嵌入式系統軟體研發工程師 (ID: 230011),https//www.104.com.tw/job/7v0ch?jobsource=jolist_a_relevance
【駐印尼廠區】廠企劃主管,https//www.104.com.tw/job/7zmw4?jobsource=jolist_a_relevance
【產品研發】Senior Backend Engineer,https//www.104.com.tw/job/7zu4e?jobsource=jolist_a_relevance
房產研究實習生、房產實習生（隨時開始，至少一學期）【房感不動產科技】,https//www.104.com.tw/job/7tzxe?jobsource=jolist_a_relevance
數據工程師(學士),https//www.104.com.tw/job/6kssy?jobsource=jolist_a_relevance
美編企劃專員,https//www.104.com.tw/job/7jtii?jobsource=jolist_a_relevance
