職位,網址
【大數據科技教育產業】教育顧問(台北),https//www.104.com.tw/job/6cncs?jobsource=jolist_a_relevance
風險管理處-大數據應用分析人員,https//www.104.com.tw/job/74xku?jobsource=jolist_a_relevance
資料工程師(大數據),https//www.104.com.tw/job/7od88?jobsource=jolist_a_relevance
資訊安全分析師 (大數據平台 Splunk 應用 ),https//www.104.com.tw/job/6iubm?jobsource=jolist_a_relevance
【大數據】生資研發研究員/副研究員,https//www.104.com.tw/job/7y37u?jobsource=jolist_a_relevance
大數據工程師,https//www.104.com.tw/job/74dad?jobsource=jolist_a_relevance
數據分析工讀生 / Data Analysis Intern,https//www.104.com.tw/job/636rg?jobsource=jolist_a_relevance
(資深)業務經理,https//www.104.com.tw/job/6se98?jobsource=jolist_a_relevance
【工業4.0／智慧製造】大數據分析工程師 (Python),https//www.104.com.tw/job/6mjk0?jobsource=jolist_a_relevance
KH4104-智能大數據資深工程師/副理-湖口區光復廠,https//www.104.com.tw/job/7rtn3?jobsource=jolist_c_relevance
資訊安全分析師 (大數據平台 Splunk 應用 ),https//www.104.com.tw/job/6iubm?jobsource=jolist_c_relevance
影音剪輯工讀生 (長期工讀),https//www.104.com.tw/job/6uu0k?jobsource=jolist_c_relevance
T-【2023軟體技術人才招募】大數據工程師_人才招募,https//www.104.com.tw/job/69zh1?jobsource=jolist_c_relevance
商業智慧及大數據工程師,https//www.104.com.tw/job/38q85?jobsource=jolist_c_relevance
大數據分析工程師,https//www.104.com.tw/job/7xuuw?jobsource=jolist_c_relevance
資深數據分析師(大數據發展事業處) ,https//www.104.com.tw/job/7maio?jobsource=jolist_c_relevance
【大數據】生資研發研究員/副研究員,https//www.104.com.tw/job/7y37u?jobsource=jolist_c_relevance
UI網頁設計師/視覺設計師,https//www.104.com.tw/job/7yu0x?jobsource=jolist_c_relevance
長期實習生（半導體、大數據、資料分析工程師）,https//www.104.com.tw/job/7i60g?jobsource=jolist_c_relevance
大數據分析暨人工智慧開發工程師-智慧交通領域(IAD20),https//www.104.com.tw/job/79we1?jobsource=jolist_c_relevance
Big Data Engineer_大數據工程師,https//www.104.com.tw/job/7dl67?jobsource=jolist_c_relevance
(資深)業務經理,https//www.104.com.tw/job/6se98?jobsource=jolist_c_relevance
大數據工程師,https//www.104.com.tw/job/74dad?jobsource=jolist_c_relevance
[HQ HR] 總務行政專員 Office Administrator,https//www.104.com.tw/job/6ple9?jobsource=jolist_c_relevance
大數據分析整合工程師,https//www.104.com.tw/job/7m6zp?jobsource=jolist_c_relevance
製造資訊系統工程師,https//www.104.com.tw/job/7nus9?jobsource=jolist_c_relevance
(資深)業務專員/主任,https//www.104.com.tw/job/7rtr8?jobsource=jolist_c_relevance
資訊處-大數據應用分析師,https//www.104.com.tw/job/7lrga?jobsource=jolist_c_relevance
量化策略與金融大數據工程師,https//www.104.com.tw/job/7q9k6?jobsource=jolist_c_relevance
資深數據分析師(大數據發展事業處) ,https//www.104.com.tw/job/7maio?jobsource=jolist_a_relevance
[TW FA] Financial  Associate Manager/Manager,https//www.104.com.tw/job/7z99j?jobsource=jolist_a_relevance
博士學位高薪實習計畫:大數據與系統模擬工業應整合研發人才(台中辦公室),https//www.104.com.tw/job/6riew?jobsource=jolist_a_relevance
資料工程師,https//www.104.com.tw/job/747q3?jobsource=jolist_a_relevance
UI網頁設計師/視覺設計師,https//www.104.com.tw/job/7yu0x?jobsource=jolist_a_relevance
長期實習生（半導體、大數據、資料分析工程師）,https//www.104.com.tw/job/7i60g?jobsource=jolist_a_relevance
大數據與資訊安全處-資訊安全工程師,https//www.104.com.tw/job/7sb6g?jobsource=jolist_a_relevance
商業智慧及大數據顧問,https//www.104.com.tw/job/32jy5?jobsource=jolist_a_relevance
商務開發經理 / 副理（ AI 消費大數據）,https//www.104.com.tw/job/7ym8f?jobsource=jolist_a_relevance
【超夯主打-Ⅱ‧  AI專區】-大數據工程師/全端軟體開發工程師-湖口區光復廠,https//www.104.com.tw/job/7rts6?jobsource=jolist_a_relevance
數據師、大數據分析師(臺北市信義區),https//www.104.com.tw/job/7cfoj?jobsource=jolist_a_relevance
[Data Sci] Data Analytics Engineer,https//www.104.com.tw/job/7ghl1?jobsource=jolist_a_relevance
[HQ HR] 總務行政專員 Office Administrator,https//www.104.com.tw/job/6ple9?jobsource=jolist_a_relevance
"國家衛生研究院健康大數據永續平台計畫(TCOG派駐台北榮總)臨床研究護理師(Study Coordinator, SC)",https//www.104.com.tw/job/7xdk4?jobsource=jolist_a_relevance
數據專案管理(大數據發展處),https//www.104.com.tw/job/7x27u?jobsource=jolist_a_relevance
