職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
"資深資料工程師 Sr. Data Engineer, UNIVERSE by ViewSonic",https://www.104.com.tw/job/7yw45?jobsource=jolist_a_relevance,ViewSonic Corporation_優派國際股份有限公司,新北市中和區,待遇面議
前端開發工程師,https://www.104.com.tw/job/7q0r7?jobsource=jolist_a_relevance,析數智匯股份有限公司,台北市內湖區,待遇面議
【風險諮詢】數位科技風險 - 隱私與資料保護顧問,https://www.104.com.tw/job/30kde?jobsource=jolist_a_relevance,勤業眾信聯合會計師事務所,台北市信義區,待遇面議
"資深資料工程師 Sr. Data Engineer, UNIVERSE by ViewSonic",https://www.104.com.tw/job/7yw45?jobsource=jolist_d_relevance,ViewSonic Corporation_優派國際股份有限公司,新北市中和區,待遇面議
台灣奧美 Strategist 策略 - Senior Strategist 資深策略規劃人員,https://www.104.com.tw/job/3em8z?jobsource=jolist_d_relevance,奧美廣告股份有限公司,台北市信義區,待遇面議
繪圖工程師,https://www.104.com.tw/job/7zmz9?jobsource=jolist_d_relevance,云辰電子開發股份有限公司,新北市土城區,待遇面議
【組織擴編強力募集】資深專案企劃,https://www.104.com.tw/job/7xxk1?jobsource=jolist_d_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,"年薪600,000~900,000元"
[新竹] Senior Software Engineer - Backend (資深後端軟體工程師),https://www.104.com.tw/job/7dxry?jobsource=jolist_d_relevance,騰學廣告科技股份有限公司,新竹縣竹北市,遠端工作
【產品團隊】Java Engineer_台北,https://www.104.com.tw/job/7igqc?jobsource=jolist_d_relevance,昕力資訊股份有限公司,台北市內湖區,待遇面議
技術主任．系統整合一部技術支援處GIS大數據課,https://www.104.com.tw/job/7mz51?jobsource=jolist_d_relevance,三商電腦股份有限公司,台北市信義區,待遇面議
主管秘書,https://www.104.com.tw/job/7si68?jobsource=jolist_d_relevance,億鴻系統科技股份有限公司,台北市內湖區,待遇面議
業務助理(Sales Assistant),https://www.104.com.tw/job/7g3on?jobsource=jolist_d_relevance,衛利生物科技股份有限公司,新北市新店區,待遇面議
光學工程師,https://www.104.com.tw/job/7i6l6?jobsource=jolist_d_relevance,常鴻新科技股份有限公司,新竹縣竹北市,待遇面議
【不動產經紀人員】(大台中地區)房屋仲介/轉職百萬年薪不是夢,https://www.104.com.tw/job/75jan?jobsource=jolist_d_relevance,信義房屋股份有限公司,台中市大里區,"月薪50,000元"
軟韌體研發工程師,https://www.104.com.tw/job/4401r?jobsource=jolist_d_relevance,ASUSTOR_華芸科技股份有限公司,台北市北投區,待遇面議
智慧排程規劃管理師,https://www.104.com.tw/job/73k5j?jobsource=jolist_d_relevance,析數智匯股份有限公司,台北市內湖區,待遇面議
長期/短期 問卷專案電訪 歡迎{暑期工讀}{二度就業}{電訪新手}加入( 請主動來電 ) 團體說明會時間：5/31(三)19:00,https://www.104.com.tw/job/67hcb?jobsource=jolist_d_relevance,典通股份有限公司,台北市中正區,時薪176~220元
Business Intelligence Analyst 數據分析師,https://www.104.com.tw/job/69or3?jobsource=jolist_d_relevance,宇泰華科技股份有限公司,台北市南港區,待遇面議
程式軟體工程師,https://www.104.com.tw/job/618kd?jobsource=jolist_d_relevance,眾匯智能健康股份有限公司,台北市南港區,待遇面議
資深策略企劃 Senior Strategy Planner,https://www.104.com.tw/job/6v387?jobsource=jolist_d_relevance,安索帕股份有限公司,台北市信義區,待遇面議
兼職業務開發專員(有獎金、周休二日、可排班),https://www.104.com.tw/job/7z8iq?jobsource=jolist_d_relevance,104人力銀行_一零四資訊科技股份有限公司,台北市松山區,時薪200元
【行動智慧研發處】Project Manager (Digital Advertising Solution),https://www.104.com.tw/job/7bdqv?jobsource=jolist_d_relevance,現觀科技股份有限公司,台北市中山區,待遇面議
UI UX Designer 使用者介面與經驗設計,https://www.104.com.tw/job/76mft?jobsource=jolist_d_relevance,美商勞倫斯科技股份有限公司台灣分公司,台中市西屯區,待遇面議
數據與AI平台研發工程師,https://www.104.com.tw/job/722ln?jobsource=jolist_c_relevance,艾迪英特股份有限公司,台北市松山區,"年薪750,000~1,400,000元"
後端應⽤⼯程師,https://www.104.com.tw/job/6swkr?jobsource=jolist_c_relevance,方探科技股份有限公司,台北市大安區,"月薪35,000~46,000元"
【數位人才招募】雲端數據工程師,https://www.104.com.tw/job/76bsv?jobsource=jolist_c_relevance,信義房屋股份有限公司,台北市信義區,"月薪50,000元以上"
"Software Engineer, Machine Learning",https://www.104.com.tw/job/7tv3a?jobsource=jolist_c_relevance,沛星互動科技股份有限公司,台北市信義區,待遇面議
MIS工程師(IT),https://www.104.com.tw/job/762c2?jobsource=jolist_c_relevance,聯詠科技股份有限公司,新竹縣竹北市,待遇面議
【金易達科技股份有限公司】組裝工程師,https://www.104.com.tw/job/7fpva?jobsource=jolist_c_relevance,竹陞科技股份有限公司,新竹縣竹北市,待遇面議
(資深)SA系統分析師 (Sr.)System Analyst_新竹,https://www.104.com.tw/job/710un?jobsource=jolist_c_relevance,昕力資訊股份有限公司,新竹市,待遇面議
韌體工程師,https://www.104.com.tw/job/7bzie?jobsource=jolist_c_relevance,成強科技股份有限公司,新北市林口區,待遇面議
T342-業務代表,https://www.104.com.tw/job/7ri3s?jobsource=jolist_c_relevance,大同世界科技股份有限公司,台北市中山區,待遇面議
研發後端工程師,https://www.104.com.tw/job/7zvji?jobsource=jolist_c_relevance,成強科技股份有限公司,新北市林口區,待遇面議
Java工程師【安穩僱用計畫2.0】,https://www.104.com.tw/job/7p9ef?jobsource=jolist_c_relevance,震江電力科技股份有限公司,新竹市,待遇面議
【金易達科技股份有限公司】業務專員,https://www.104.com.tw/job/7anl1?jobsource=jolist_c_relevance,竹陞科技股份有限公司,新竹縣竹北市,待遇面議
成本會計管理師,https://www.104.com.tw/job/6yxg8?jobsource=jolist_c_relevance,高登智慧科技股份有限公司,新竹市,"月薪40,000~50,000元"
Graphic/GUI Designer 平面/GUI設計師,https://www.104.com.tw/job/7czil?jobsource=jolist_c_relevance,美商勞倫斯科技股份有限公司台灣分公司,台中市西屯區,待遇面議
【不動產經紀人員】(高雄)房仲業務/30天工作體驗/不適應離職再領5萬轉職金,https://www.104.com.tw/job/7bj13?jobsource=jolist_c_relevance,信義房屋股份有限公司,高雄市鼓山區,"月薪50,000元"
(資深).NET C#工程師 (Sr.) .NET C# Engineer_高雄,https://www.104.com.tw/job/7jesz?jobsource=jolist_c_relevance,昕力資訊股份有限公司,高雄市苓雅區,"月薪35,000~80,000元"
人資行政專員(招募/訓練),https://www.104.com.tw/job/7thdw?jobsource=jolist_c_relevance,104人力銀行_一零四資訊科技股份有限公司,台北市松山區,"月薪28,000~33,000元"
"[JR0021420] Business Analytics Associate Manager, Global Consumer Analytics",https://www.104.com.tw/job/7x7k1?jobsource=jolist_c_relevance,Yahoo_香港商雅虎資訊股份有限公司,台北市南港區,待遇面議
數據架構師 Data Architect,https://www.104.com.tw/job/769ia?jobsource=jolist_c_relevance,偉康科技股份有限公司,台北市松山區,待遇面議
【數位金融】數據生態營運部雲端數據架構師(台北),https://www.104.com.tw/job/7qhd3?jobsource=jolist_c_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
資安工程師(技術研發)_台達研究院(台北),https://www.104.com.tw/job/6h5y8?jobsource=jolist_c_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,待遇面議
教育訓練資深專員,https://www.104.com.tw/job/7jlzy?jobsource=jolist_c_relevance,億鴻系統科技股份有限公司,台北市內湖區,待遇面議
生產管理師,https://www.104.com.tw/job/7zx7v?jobsource=jolist_c_relevance,常鴻新科技股份有限公司,新竹縣竹北市,待遇面議
資料工程師,https://www.104.com.tw/job/7mxtd?jobsource=jolist_c_relevance,雙子數位科技有限公司,台北市內湖區,待遇面議
"資深資料工程師 Sr. Data Engineer, UNIVERSE by ViewSonic",https://www.104.com.tw/job/7yw45?jobsource=jolist_c_relevance,ViewSonic Corporation_優派國際股份有限公司,新北市中和區,待遇面議
前端開發工程師,https://www.104.com.tw/job/7q0r7?jobsource=jolist_c_relevance,析數智匯股份有限公司,台北市內湖區,待遇面議
【風險諮詢】數位科技風險 - 隱私與資料保護顧問,https://www.104.com.tw/job/30kde?jobsource=jolist_c_relevance,勤業眾信聯合會計師事務所,台北市信義區,待遇面議
台灣奧美 Strategist 策略 - Senior Strategist 資深策略規劃人員,https://www.104.com.tw/job/3em8z?jobsource=jolist_c_relevance,奧美廣告股份有限公司,台北市信義區,待遇面議
Campaign Analyst (AiDeal),https://www.104.com.tw/job/7l1hq?jobsource=jolist_c_relevance,沛星互動科技股份有限公司,台北市信義區,待遇面議
【組織擴編強力募集】資深專案企劃,https://www.104.com.tw/job/7xxk1?jobsource=jolist_c_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,"年薪600,000~900,000元"
繪圖工程師,https://www.104.com.tw/job/7zmz9?jobsource=jolist_c_relevance,云辰電子開發股份有限公司,新北市土城區,待遇面議
[新竹] Senior Software Engineer - Backend (資深後端軟體工程師),https://www.104.com.tw/job/7dxry?jobsource=jolist_c_relevance,騰學廣告科技股份有限公司,新竹縣竹北市,遠端工作
技術主任．系統整合一部技術支援處GIS大數據課,https://www.104.com.tw/job/7mz51?jobsource=jolist_c_relevance,三商電腦股份有限公司,台北市信義區,待遇面議
【產品團隊】Java Engineer_台北,https://www.104.com.tw/job/7igqc?jobsource=jolist_c_relevance,昕力資訊股份有限公司,台北市內湖區,待遇面議
總經理特助,https://www.104.com.tw/job/7qb9f?jobsource=jolist_c_relevance,ASUSTOR_華芸科技股份有限公司,台北市北投區,"年薪1,500,000~2,000,000元"
業務助理(Sales Assistant),https://www.104.com.tw/job/7g3on?jobsource=jolist_c_relevance,衛利生物科技股份有限公司,新北市新店區,待遇面議
光學工程師,https://www.104.com.tw/job/7i6l6?jobsource=jolist_c_relevance,常鴻新科技股份有限公司,新竹縣竹北市,待遇面議
智慧排程規劃管理師,https://www.104.com.tw/job/73k5j?jobsource=jolist_c_relevance,析數智匯股份有限公司,台北市內湖區,待遇面議
【不動產經紀人員】(桃園市地區)房仲業務/新鮮人大學畢無工作經驗首選,https://www.104.com.tw/job/56d33?jobsource=jolist_c_relevance,信義房屋股份有限公司,桃園市中壢區,"月薪50,000元"
長期/短期 問卷專案電訪 歡迎{暑期工讀}{二度就業}{電訪新手}加入( 請主動來電 ) 團體說明會時間：5/31(三)19:00,https://www.104.com.tw/job/67hcb?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,時薪176~220元
AI軟體工程師 AI Software Engineer (Data Science & AI Team),https://www.104.com.tw/job/7z809?jobsource=jolist_a_relevance,鴻海精密工業股份有限公司,新北市土城區,待遇面議
Business Analyst_Singapore,https://www.104.com.tw/job/7s5dt?jobsource=jolist_a_relevance,昕力資訊股份有限公司,新加坡,待遇面議
Sr. Android Engineer,https://www.104.com.tw/job/694ce?jobsource=jolist_a_relevance,威摩科技股份有限公司,台北市松山區,遠端工作
Node.JS Backend Engineer,https://www.104.com.tw/job/7qvh6?jobsource=jolist_a_relevance,聯齊科技股份有限公司,台北市南港區,待遇面議
P2-軟體工程師 (資深/Java),https://www.104.com.tw/job/6gunb?jobsource=jolist_a_relevance,意藍資訊股份有限公司,台北市大安區,待遇面議
【RD】應用系統開發工程師,https://www.104.com.tw/job/7j6ue?jobsource=jolist_a_relevance,宏碁雲架構服務股份有限公司,台北市信義區,"月薪35,000元以上"
網路資訊安全人員【SGH005 戰略數據中心】,https://www.104.com.tw/job/7b0fa?jobsource=jolist_a_relevance,"大江生醫股份有限公司(TCI CO., Ltd)",台北市內湖區,"月薪40,000~80,000元"
Jr. QA Engineer｜AI / Machine Learning｜港資上市公司,https://www.104.com.tw/job/7t6s3?jobsource=jolist_a_relevance,八達有限公司,香港特別行政區,"月薪80,000~110,000元"
[TW Data] Sr. Data Sales Business Partner Manager,https://www.104.com.tw/job/7sn8u?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
FAE 工程師,https://www.104.com.tw/job/7w8xe?jobsource=jolist_a_relevance,聯齊科技股份有限公司,台北市南港區,"月薪40,000~80,000元"
內勤業務 Inside Sales,https://www.104.com.tw/job/7t3j5?jobsource=jolist_a_relevance,星擊科技股份有限公司,新竹市,"月薪33,000~35,000元"
Business Development Manager_Vietnam,https://www.104.com.tw/job/7ap2l?jobsource=jolist_a_relevance,昕力資訊股份有限公司,越南,待遇面議
電子電路硬體工程師 (馬達驅動器設計),https://www.104.com.tw/job/79kjs?jobsource=jolist_a_relevance,群勝系統科技股份有限公司,台中市西屯區,待遇面議
Software Developer - 資深軟體研發工程師(JAVA),https://www.104.com.tw/job/7nr5l?jobsource=jolist_a_relevance,圖靈奧創股份有限公司,台北市信義區,遠端工作
Full Stack Developer 全端工程師｜港資上市公司,https://www.104.com.tw/job/7uofg?jobsource=jolist_a_relevance,八達有限公司,香港特別行政區,"月薪100,000~150,000元"
Senior QA Engineer,https://www.104.com.tw/job/7i34x?jobsource=jolist_a_relevance,華玉科技股份有限公司,台北市大安區,"月薪55,000~80,000元"
【先進模組開發部】熱流工程師(演算法工程師),https://www.104.com.tw/job/7bmn9?jobsource=jolist_a_relevance,輝能科技股份有限公司,桃園市中壢區,待遇面議
[HQ - Taipei] 生產者關係發展部 - 經理,https://www.104.com.tw/job/77t0i?jobsource=jolist_a_relevance,菜蟲農食股份有限公司,台北市松山區,"月薪65,000元以上"
JAVA/SQL 程式設計師,https://www.104.com.tw/job/7twkv?jobsource=jolist_a_relevance,台灣經濟新報文化事業股份有限公司,台北市信義區,待遇面議
機器學習工程師 AI/ML Engineer(Data Science & AI Team),https://www.104.com.tw/job/7du3k?jobsource=jolist_a_relevance,鴻海精密工業股份有限公司,新北市土城區,待遇面議
行銷開發業務（BD）,https://www.104.com.tw/job/72j00?jobsource=jolist_c_relevance,擎雷防偽科技股份有限公司,新北市中和區,"月薪35,000~50,000元"
Sr. Algorithm Engineer,https://www.104.com.tw/job/7b8t3?jobsource=jolist_c_relevance,拓布拉信息技術有限公司,台北市信義區,"月薪100,000元以上"
稽核人員,https://www.104.com.tw/job/7zgft?jobsource=jolist_c_relevance,ASUSTOR_華芸科技股份有限公司,台北市北投區,待遇面議
招募系統客服顧問 【人資學院】,https://www.104.com.tw/job/4aqit?jobsource=jolist_c_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,待遇面議
Sr. UI Designer 使用者介面設計師,https://www.104.com.tw/job/7rltf?jobsource=jolist_c_relevance,訊連科技股份有限公司,新北市新店區,待遇面議
文編人員,https://www.104.com.tw/job/7z255?jobsource=jolist_c_relevance,信諾科技有限公司,台北市大同區,"月薪35,000元以上"
財會專員/資深財會專員,https://www.104.com.tw/job/7x9f1?jobsource=jolist_c_relevance,雲發互動科技有限公司,台北市內湖區,待遇面議
【視訊面試】Node.js後端工程師,https://www.104.com.tw/job/7z7cr?jobsource=jolist_c_relevance,宏益科技服務股份有限公司,台北市中正區,待遇面議
資深商務開發專員 BD,https://www.104.com.tw/job/7r8wj?jobsource=jolist_c_relevance,威摩科技股份有限公司,台北市松山區,待遇面議
資深數位社群行銷企劃 Senior Planner,https://www.104.com.tw/job/6g66s?jobsource=jolist_c_relevance,亞瑞特數位社群行銷有限公司,台北市松山區,待遇面議
【數位金融】資料營運工程師(Hadoop),https://www.104.com.tw/job/7gajq?jobsource=jolist_c_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
【TNLR】Research Executive/ Manager,https://www.104.com.tw/job/7kfhw?jobsource=jolist_c_relevance,關鍵評論網股份有限公司,台北市信義區,待遇面議
BD商務開發業務,https://www.104.com.tw/job/6zc17?jobsource=jolist_c_relevance,紅門互動股份有限公司,台北市松山區,遠端工作
HRBP - Neihu,https://www.104.com.tw/job/7z63x?jobsource=jolist_c_relevance,Advantech_研華股份有限公司,台北市內湖區,待遇面議
【視訊面試優先】軟體系統工程師,https://www.104.com.tw/job/601f8?jobsource=jolist_c_relevance,日本NEC集團_統智科技股份有限公司,台北市內湖區,"月薪40,000~80,000元"
AI軟體工程師 AI Software Engineer (Data Science & AI Team),https://www.104.com.tw/job/7z809?jobsource=jolist_c_relevance,鴻海精密工業股份有限公司,新北市土城區,待遇面議
Inventory Controller 庫存管理專員_台北,https://www.104.com.tw/job/7wq9u?jobsource=jolist_c_relevance,裕利股份有限公司,台北市松山區,"月薪30,000~43,000元"
"FAE ( Tokyo, JP)",https://www.104.com.tw/job/7n27o?jobsource=jolist_c_relevance,聯齊科技股份有限公司,東北亞,待遇面議
Business Analyst Intern | 商務分析實習生,https://www.104.com.tw/job/7vc3y?jobsource=jolist_c_relevance,聯齊科技股份有限公司,台北市南港區,時薪180元
資深網站專案管理 Project Manager,https://www.104.com.tw/job/4p1fv?jobsource=jolist_c_relevance,振作國際股份有限公司,台北市松山區,"月薪40,000~80,000元"
資深搜尋引擎(Search Engine)自然語言處理(NLP)工程師,https://www.104.com.tw/job/4cxev?jobsource=jolist_a_relevance,第一網站股份有限公司,台北市中山區,待遇面議
系統維護工程師,https://www.104.com.tw/job/7fffu?jobsource=jolist_a_relevance,群勝系統科技股份有限公司,台中市西屯區,待遇面議
Technical Head/Manager,https://www.104.com.tw/job/7ue3v?jobsource=jolist_a_relevance,Affiliates.One 聯盟網_富創藍圖有限公司,台北市內湖區,"年薪1,500,000~2,000,000元"
Sr. Data Engineer,https://www.104.com.tw/job/6t23v?jobsource=jolist_a_relevance,威摩科技股份有限公司,台北市松山區,遠端工作
Site Reliability Engineer (SRE)_0089,https://www.104.com.tw/job/746hj?jobsource=jolist_a_relevance,遊戲橘子數位科技股份有限公司,台北市內湖區,"月薪60,000~100,000元"
資料倉儲架構師(FAM),https://www.104.com.tw/job/7yxf4?jobsource=jolist_a_relevance,德義資訊股份有限公司,台北市大安區,待遇面議
HRBP - Neihu,https://www.104.com.tw/job/7z63x?jobsource=jolist_a_relevance,Advantech_研華股份有限公司,台北市內湖區,待遇面議
【視訊面試優先】軟體系統工程師,https://www.104.com.tw/job/601f8?jobsource=jolist_a_relevance,日本NEC集團_統智科技股份有限公司,台北市內湖區,"月薪40,000~80,000元"
Inventory Controller 庫存管理專員_台北,https://www.104.com.tw/job/7wq9u?jobsource=jolist_a_relevance,裕利股份有限公司,台北市松山區,"月薪30,000~43,000元"
資金管理師(財務出納) -【可視訊/線上面談】,https://www.104.com.tw/job/7ott9?jobsource=jolist_a_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,待遇面議
第四屆 國立清華大學 x 104職涯學院校園經理【實習】,https://www.104.com.tw/job/7scpf?jobsource=jolist_a_relevance,104人力銀行_一零四資訊科技股份有限公司,新竹市,"論件計酬30,000元"
【Architect】全端研發工程師,https://www.104.com.tw/job/7hlb5?jobsource=jolist_a_relevance,杜浦數位安全股份有限公司,台北市松山區,待遇面議
Android App 開發工程師,https://www.104.com.tw/job/6glp4?jobsource=jolist_a_relevance,眾匯智能健康股份有限公司,台北市南港區,待遇面議
【不動產經紀人員】(大台中地區)房仲業務/完善培訓計畫/多元學習管道培養個人發展,https://www.104.com.tw/job/56d3o?jobsource=jolist_a_relevance,信義房屋股份有限公司,台中市太平區,"月薪50,000元"
營管/經營/專案管理專員(台南),https://www.104.com.tw/job/7vaul?jobsource=jolist_a_relevance,億鴻系統科技股份有限公司,台南市歸仁區,"月薪38,000元以上"
大四、研二實習計畫，不限科系：後端工程師，視訊/線上面談 (一學年實習：2023/9月~2024/5月底，實習32K，未來下單位42K起跳),https://www.104.com.tw/job/7l77r?jobsource=jolist_a_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,"月薪32,000元"
硬體研發工程師(儲備幹部)【新竹】,https://www.104.com.tw/job/6x93g?jobsource=jolist_a_relevance,竹陞科技股份有限公司,新竹縣竹北市,待遇面議
精品銷售顧問（Sales Representative）,https://www.104.com.tw/job/6b1fs?jobsource=jolist_a_relevance,Diamond Bank_騰烽有限公司,台北市大安區,"月薪35,000元以上"
行銷企劃人員,https://www.104.com.tw/job/7v1bx?jobsource=jolist_a_relevance,眾匯智能健康股份有限公司,台北市南港區,"月薪35,000~45,000元"
【不動產經紀人員】(台北市全區)房屋仲介/轉職百萬年薪不是夢,https://www.104.com.tw/job/4msig?jobsource=jolist_a_relevance,信義房屋股份有限公司,台北市文山區,"月薪50,000元"
(整合行銷一部)產業分析人員,https://www.104.com.tw/job/79xow?jobsource=jolist_b_relevance,潮網科技股份有限公司,台北市中正區,"月薪35,000~50,000元"
J001207_資訊工程師(SCM / ASRS/MES),https://www.104.com.tw/job/7t1lg?jobsource=jolist_b_relevance,堤維西交通工業股份有限公司,台南市安南區,"月薪35,000~48,000元"
BA顧問 高雄,https://www.104.com.tw/job/7xk6o?jobsource=jolist_b_relevance,德昂資訊股份有限公司,高雄市三民區,"月薪40,000~50,000元"
【數據發展部】助理數據分析師,https://www.104.com.tw/job/70mim?jobsource=jolist_b_relevance,聯合報股份有限公司,新北市汐止區,待遇面議
儀表工程師,https://www.104.com.tw/job/7ouot?jobsource=jolist_b_relevance,億鴻系統科技股份有限公司,台北市內湖區,"月薪42,000元以上"
SQL資料工程師-智慧交通領域(IAD20),https://www.104.com.tw/job/7j10s?jobsource=jolist_b_relevance,資拓宏宇國際股份有限公司,新北市板橋區,待遇面議
Product Designer (UI/UX),https://www.104.com.tw/job/7n6vt?jobsource=jolist_b_relevance,雲發互動科技有限公司,台北市內湖區,待遇面議
馬達控制應用 軟/韌體工程師,https://www.104.com.tw/job/7ano1?jobsource=jolist_b_relevance,群勝系統科技股份有限公司,台中市西屯區,待遇面議
維運工程師(新市)(O&M),https://www.104.com.tw/job/7rydj?jobsource=jolist_b_relevance,ETC＿遠通電收股份有限公司,台南市新市區,"月薪35,000~48,000元"
智慧製造助理顧問,https://www.104.com.tw/job/7ayrl?jobsource=jolist_b_relevance,析數智匯股份有限公司,台北市內湖區,待遇面議
晶圓廠客服工程師【台南】,https://www.104.com.tw/job/6gwrt?jobsource=jolist_b_relevance,竹陞科技股份有限公司,台南市新市區,"月薪34,000~45,000元"
【不動產經紀人員】(高雄)房屋仲介/轉職百萬年薪不是夢,https://www.104.com.tw/job/7bj0u?jobsource=jolist_b_relevance,信義房屋股份有限公司,高雄市楠梓區,"月薪50,000元"
助理數據分析師,https://www.104.com.tw/job/7u4es?jobsource=jolist_b_relevance,聯經數位股份有限公司,新北市汐止區,"月薪34,000~45,000元"
廣告優化師 執行助理,https://www.104.com.tw/job/7d4h5?jobsource=jolist_b_relevance,紅門互動股份有限公司,台北市松山區,"月薪28,000~38,000元"
中信金融管理學院-誠徵助理教授以上師資,https://www.104.com.tw/job/75cs4?jobsource=jolist_b_relevance,中信學校財團法人中信金融管理學院,台南市安南區,待遇面議
數位環工專案主管,https://www.104.com.tw/job/4bc1l?jobsource=jolist_b_relevance,信諾科技有限公司,台北市大同區,"月薪50,000~80,000元"
【不動產經紀人員】(桃園市地區)房屋仲介/30天工作體驗/不適應離職再領5萬轉職金,https://www.104.com.tw/job/5rhlq?jobsource=jolist_b_relevance,信義房屋股份有限公司,桃園市中壢區,"月薪50,000元"
AI人工智慧研發研發工程師,https://www.104.com.tw/job/7y4ip?jobsource=jolist_b_relevance,台灣晉陞太空股份有限公司,苗栗縣竹南鎮,待遇面議
前端程式設計師(FrontEnd) - 長期兼職/可遠端,https://www.104.com.tw/job/8015k?jobsource=jolist_b_relevance,聯成數網股份有限公司,台北市大同區,遠端工作
資深/招募訓練專員,https://www.104.com.tw/job/779x6?jobsource=jolist_b_relevance,104人力銀行_一零四資訊科技股份有限公司,台北市松山區,待遇面議
資訊-大數據工程師(海外地區),https://www.104.com.tw/job/78cl0?jobsource=jolist_d_relevance,臻鼎科技股份有限公司,桃園市大園區,"月薪36,000元以上"
網站文字編輯(動漫類)(媒體營運部),https://www.104.com.tw/job/7kvgw?jobsource=jolist_d_relevance,艾璽媒體有限公司,台北市中山區,"月薪32,000~35,000元"
【不動產經紀人員】(新竹市、竹北市)房仲業務/完善培訓計畫/多元學習管道培養個人發展,https://www.104.com.tw/job/6fapk?jobsource=jolist_d_relevance,信義房屋股份有限公司,新竹縣竹北市,"月薪50,000元"
博士後研究(研發替代役可),https://www.104.com.tw/job/6eopx?jobsource=jolist_d_relevance,中央研究院資訊科學研究所,台北市南港區,"月薪60,274~92,605元"
職業安全衛生管理員【新竹】,https://www.104.com.tw/job/6qtop?jobsource=jolist_d_relevance,竹陞科技股份有限公司,新竹縣竹北市,"月薪32,000~42,000元"
ES - Data Scientist,https://www.104.com.tw/job/7r2bx?jobsource=jolist_d_relevance,瑞健股份有限公司,桃園市蘆竹區,待遇面議
晚上/假日專案電訪 歡迎{暑期工讀}{二度就業}{電訪新手}加入 (請主動來電) 團體說明會時間：5/31(三)19:00,https://www.104.com.tw/job/5p8fq?jobsource=jolist_d_relevance,典通股份有限公司,台北市中正區,時薪176~220元
Tableau和PowerBI 開發工程師-兼職,https://www.104.com.tw/job/7n0t7?jobsource=jolist_d_relevance,德昂資訊股份有限公司,台北市松山區,遠端工作
Program/Project manager _ Delta Research Center (Taipei),https://www.104.com.tw/job/7k5uk?jobsource=jolist_d_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,待遇面議
測試工程師,https://www.104.com.tw/job/4401q?jobsource=jolist_d_relevance,ASUSTOR_華芸科技股份有限公司,台北市北投區,"月薪30,000~70,000元"
資深後端工程師,https://www.104.com.tw/job/7zdn5?jobsource=jolist_d_relevance,博澭科技有限公司,台中市西屯區,"年薪1,100,000元以上"
"Manager of Enterprise Solution Sales, Taiwan",https://www.104.com.tw/job/7fyoc?jobsource=jolist_d_relevance,沛星互動科技股份有限公司,台北市信義區,待遇面議
MKT Freelance Writer (Native Spanish),https://www.104.com.tw/job/7g017?jobsource=jolist_d_relevance,訊連科技股份有限公司,新北市新店區,待遇面議
BI開發工程師-長期實習生--台中,https://www.104.com.tw/job/800iq?jobsource=jolist_d_relevance,德昂資訊股份有限公司,高雄市三民區,遠端工作
ASP.NET資深軟體工程師(台北)2,https://www.104.com.tw/job/6p6nl?jobsource=jolist_d_relevance,文中資訊股份有限公司,台北市松山區,"月薪50,000元以上"
花蓮 按件計酬面訪問卷人員,https://www.104.com.tw/job/78rfi?jobsource=jolist_d_relevance,典通股份有限公司,花蓮縣花蓮市,論件計酬120元以上
資深數據工程師 Senior Data Engineer/Data Architect (Data Science & AI Team),https://www.104.com.tw/job/7yr1c?jobsource=jolist_d_relevance,鴻海精密工業股份有限公司,新北市土城區,待遇面議
ASP.NET資深軟體工程師(台北),https://www.104.com.tw/job/33u6i?jobsource=jolist_d_relevance,文中資訊股份有限公司,台北市松山區,"月薪50,000元以上"
應用工程師(AI/影像處理/技術服務)【新竹】,https://www.104.com.tw/job/5vxaj?jobsource=jolist_d_relevance,竹陞科技股份有限公司,新竹縣竹北市,待遇面議
【Sales】雲端銷售業務,https://www.104.com.tw/job/7hqy3?jobsource=jolist_d_relevance,宏碁雲架構服務股份有限公司,台北市信義區,待遇面議
軟體專案管理師【SGH008 戰略數據中心】屏東農科園區,https://www.104.com.tw/job/7b42e?jobsource=jolist_a_relevance,"大江生醫股份有限公司(TCI CO., Ltd)",屏東縣長治鄉,待遇面議
人資主管(薪酬績效)【人資處】,https://www.104.com.tw/job/5a1v4?jobsource=jolist_a_relevance,104人力銀行_一零四資訊科技股份有限公司,新北市新店區,待遇面議
Data Product Manager,https://www.104.com.tw/job/7yldl?jobsource=jolist_a_relevance,Gogoro Taiwan Limited_睿能創意股份有限公司,台北市松山區,待遇面議
智慧建築-弱電規劃工程師,https://www.104.com.tw/job/7y07y?jobsource=jolist_a_relevance,云辰電子開發股份有限公司,新北市土城區,待遇面議
