職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
2023_A+種子暑期實習_大數據與資料分析(龍潭),https://www.104.com.tw/job/7x1v4?jobsource=jolist_b_relevance,友達光電股份有限公司,桃園市龍潭區,"月薪32,000~51,000元"
2023_A+種子暑期實習_大數據與資料分析(台中),https://www.104.com.tw/job/7x1k9?jobsource=jolist_b_relevance,友達光電股份有限公司,台中市西屯區,"月薪32,000~51,000元"
大數據分析應用管理師,https://www.104.com.tw/job/72jd9?jobsource=jolist_b_relevance,擎雷防偽科技股份有限公司,新北市中和區,"月薪35,000~70,000元"
程式設計師-大數據平台建置(醫療領域-MCD30),https://www.104.com.tw/job/7z563?jobsource=jolist_b_relevance,資拓宏宇國際股份有限公司,台北市大同區,待遇面議
高雄軟體園區- 大數據平台整合資深工程師,https://www.104.com.tw/job/5ze2j?jobsource=jolist_b_relevance,鴻海精密工業股份有限公司,高雄市前鎮區,待遇面議
PA0424 AI大數據設計經理(內湖),https://www.104.com.tw/job/6v25o?jobsource=jolist_b_relevance,仁寶電腦工業股份有限公司,台北市內湖區,待遇面議
業務專員(週休二日/無須陌開),https://www.104.com.tw/job/7zzvy?jobsource=jolist_b_relevance,夢想家大數據整合行銷有限公司,台中市西屯區,"論件計酬50,000~100,000元"
[Data Sci] Data Front-end Engineer,https://www.104.com.tw/job/77hyp?jobsource=jolist_b_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
【2023暑期實習】大數據處理實習生 (板橋),https://www.104.com.tw/job/7yld3?jobsource=jolist_b_relevance,遠傳電信股份有限公司,台北市內湖區,"月薪26,400元"
產品專案經理(智能數據分析師 )  (良率提昇工程師),https://www.104.com.tw/job/6ta63?jobsource=jolist_b_relevance,昱峰智能大數據科技股份有限公司,台北市信義區,待遇面議
高雄軟體園區-大數據平台開發工程師,https://www.104.com.tw/job/5ze1y?jobsource=jolist_b_relevance,鴻海精密工業股份有限公司,高雄市前鎮區,待遇面議
[TW Data] Sr. Data Sales Manager/Director,https://www.104.com.tw/job/74hb9?jobsource=jolist_b_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
演算法資料／大數據 工程師！加入台中矽谷,https://www.104.com.tw/job/4nvhg?jobsource=jolist_b_relevance,皮克網路有限公司,台中市豐原區,"月薪35,000~52,000元"
統計工程師,https://www.104.com.tw/job/6x67q?jobsource=jolist_b_relevance,敬鵬工業股份有限公司,桃園市蘆竹區,"月薪28,900~50,000元"
Data Scientist/資料科學家,https://www.104.com.tw/job/7xt11?jobsource=jolist_b_relevance,霍普金斯診所,台北市內湖區,"月薪50,000元以上"
城鄉規劃人員(土地開發專業LH),https://www.104.com.tw/job/5l66l?jobsource=jolist_b_relevance,中興工程顧問股份有限公司,台北市松山區,"月薪30,000~50,000元"
